Novel_Name,Series_Name,Author_Name,Genre,Average_Rating,No_of_Ratings,No_of_Reviews,Score,No_of_Votes,Publish_Year,Pages
Warbreaker ,Warbreaker,Brandon Sanderson ,Epic Fantasy,4.3,"1,91,222","15,171","39,960",434,"June 9, 2009",688
The Fellowship of the Ring ,The Lord of the Rings,J.R.R. Tolkien,Epic Fantasy,4.39,"27,69,397","37,693","4,696",56,"July 29, 1954",398
The Warrior Heir ,The Heir Chronicles,Cinda Williams Chima ,Epic Fantasy,3.94,"52,332","3,461","1,426",19,"March 28, 2006",426
"The Hobbit, Part One",,J.R.R. Tolkien,Epic Fantasy,4.31,"3,77,397",725,484,6,"September 21, 1937",230
The Last Light of the Sun,,Guy Gavriel Kay ,Epic Fantasy,3.97,"9,136",600,"2,302",29,"March 1, 2004",501
Sandry's Book ,Circle of Magic,Tamora Pierce ,Epic Fantasy,4.02,"42,960","1,314",644,10,"September 1, 1997",252
First Test ,Protector of the Small,Tamora Pierce ,Epic Fantasy,4.24,"60,517","1,737","2,298",29,"June 7, 1999",240
Under the Whispering Door,,T.J. Klune ,Epic Fantasy,4.16,"2,04,095","32,479",390,4,"September 21, 2021",384
Eldest ,The Inheritance Cycle,Christopher Paolini ,Epic Fantasy,4.03,"4,35,012",,"4,669",56,,
The Great Book of Amber ,The Chronicles of Amber,Roger Zelazny,Epic Fantasy,4.31,"25,865","1,021","39,373",417,"December 1, 1999",1258
The Worm Ouroboros,,E.R. Eddison,Epic Fantasy,3.7,"4,747",538,"1,422",16,"January 1, 1922",446
Foundling ,Monster Blood Tattoo,D.M. Cornish ,Epic Fantasy,3.9,"8,020",750,483,6,"May 18, 2006",434
The Wise Man's Fear ,The Kingkiller Chronicle,Patrick Rothfuss ,Epic Fantasy,4.55,"5,44,979","26,872",644,8,"March 1, 2011",994
The Scorpio Races,,Maggie Stiefvater ,Epic Fantasy,4.09,"1,08,759",,900,12,,
The Lord of the Rings,,J.R.R. Tolkien,Epic Fantasy,4.52,"6,66,402","14,370","2,284",27,"October 20, 1955",1216
Dragonflight ,Pern: Dragonriders of Pern,Anne McCaffrey,Epic Fantasy,4.09,"1,36,152","4,169",389,7,"July 1, 1968",253
Royal Assassin ,Farseer Trilogy,Robin Hobb ,Epic Fantasy,4.26,"1,92,593","7,900","4,651",61,"March 1, 1996",675
Eve of Snows ,Sundering the Gods,L. James Rice ,Epic Fantasy,4.02,180,37,483,5,"June 25, 2018",488
The Mirror of Her Dreams ,Mordant's Need,Stephen R. Donaldson,Epic Fantasy,3.93,"13,732",455,"2,283",29,"September 12, 1986",656
Avaland,,Amy Croucher Rose,Epic Fantasy,4.68,28,2,900,9,"April 18, 1",342
"The Way of Kings, Part 1 ",The Stormlight Archive,Brandon Sanderson ,Epic Fantasy,4.63,"24,808","1,561",641,7,"August 31, 2010",592
Alanna: The First Adventure ,Song of the Lioness,Tamora Pierce ,Epic Fantasy,4.27,"1,29,420","6,011","39,280",417,"September 1, 1983",274
Stormdancer ,The Lotus Wars,Jay Kristoff ,Epic Fantasy,3.79,"16,769","2,761",388,5,"August 21, 2012",451
Son of Avonar ,The Bridge of D'Arnath,Carol Berg ,Epic Fantasy,3.78,"3,136",125,"1,418",18,"February 1, 2004",471
The Sword of Shannara ,The Original Shannara Trilogy,Terry Brooks ,Epic Fantasy,3.76,"95,874","4,777","4,608",59,"January 1, 1977",726
The Thirteenth Tale,,Diane Setterfield ,Epic Fantasy,3.98,"3,11,077","26,419",636,9,"September 12, 2006",406
Tigana,,Guy Gavriel Kay ,Epic Fantasy,4.09,"47,752","3,249","37,550",397,"August 1, 1990",676
Kingdom of Ash ,Throne of Glass,Sarah J. Maas ,Epic Fantasy,4.67,"4,44,672","44,361",483,6,"October 23, 2018",980
Haven of Dante: The Staff of Moshe,,Leonardo Ramirez ,Epic Fantasy,4.2,111,12,"2,279",23,"November 12, 2013",408
I Am Lilith,,Melanie Dufty ,Epic Fantasy,3.97,178,62,898,9,"October 13, 2020",302
Trail of Pyres ,Sundering the Gods,L. James Rice ,Epic Fantasy,4.58,57,13,388,4,"May 5, 2019",716
The Wayfarer Redemption ,Wayfarer Redemption,Sara Douglass,Epic Fantasy,3.96,"16,831",496,"4,598",52,"July 5, 1995",629
Valor ,The Faithful and the Fallen,John Gwynne ,Epic Fantasy,4.42,"25,066","2,217",636,8,"April 1, 2014",680
Silverlock ,Silverlock,John Myers Myers,Epic Fantasy,3.92,"1,568",182,481,6,"January 1, 1949",384
The Elfstones of Shannara  ,The Original Shannara Trilogy,Terry Brooks ,Epic Fantasy,3.98,"70,761","1,901","1,409",21,"July 12, 1982",23
The Once and Future King ,The Once and Future King,T.H. White,Epic Fantasy,4.07,"1,07,497","4,792","36,917",397,"January 1, 1958",639
The Waste Lands ,The Dark Tower,Stephen King ,Epic Fantasy,4.25,"2,19,026","7,385","2,270",28,"August 1, 1991",590
Polgara the Sorceress,,David Eddings,Epic Fantasy,4.11,"29,534",421,481,8,"October 15, 1997",754
Wolves of the Calla ,The Dark Tower,Stephen King ,Epic Fantasy,4.19,"1,81,836","5,598",895,13,"November 4, 2003",931
Inheritance ,The Inheritance Cycle,Christopher Paolini ,Epic Fantasy,4.14,"2,68,915","11,732","4,560",54,"November 8, 2011",849
The Legend of Sigurd & Gudrún,,J.R.R. Tolkien,Epic Fantasy,3.87,"7,476",463,387,5,"January 1, 2009",384
Deep World Fire  ,Deep World Saga,C.M. Meridian ,Epic Fantasy,4.28,78,10,"1,399",14,"March 1, 2016",
The Two Towers ,The Lord of the Rings,J.R.R. Tolkien,Epic Fantasy,4.48,"9,43,741","18,452",632,8,"November 11, 1954",447
Ship of Magic ,Liveship Traders,Robin Hobb ,Epic Fantasy,4.2,"81,442","4,643","35,521",387,"March 1, 1998",880
Swan Song,,Robert McCammon,Epic Fantasy,4.29,"66,859","4,753","2,261",27,"June 1, 1987",956
Prince of the Blood ,Krondor's Sons,Raymond E. Feist,Epic Fantasy,4.01,"25,384",366,892,14,"July 28, 1989",429
Howl’s Moving Castle ,Howl’s Moving Castle,Diana Wynne Jones,Epic Fantasy,4.29,"3,39,664","28,114","34,042",368,"April 1, 1986",329
Doctors in Hell ,Heroes in Hell,Janet E. Morris ,Epic Fantasy,4.68,72,9,627,7,"June 22, 2015",338
Wind from the Abyss ,Silistra,Janet E. Morris ,Epic Fantasy,3.99,119,10,481,5,"March 15, 1983",384
The Heroes,,Joe Abercrombie,Epic Fantasy,4.33,"60,158","3,452","4,542",54,"January 27, 2011",581
"The Malloreon, Vol. 2: Sorceress of Darshiva / The Seeress of Kell ",The Malloreon,David Eddings,Epic Fantasy,4.37,"5,767",70,387,5,"August 30, 2005",528
The Assassin's Blade ,Throne of Glass,Sarah J. Maas ,Epic Fantasy,4.27,"4,58,084","40,381",889,10,"March 4, 2014",448
The Rivers of Zadaa ,Pendragon,D.J. MacHale ,Epic Fantasy,4.2,"24,718",386,626,8,"January 1, 2005",405
Promise of Blood ,Powder Mage,Brian  McClellan ,Epic Fantasy,4.14,"55,554","4,041","2,240",28,"April 16, 2013",545
The King of Elfland's Daughter,,Lord Dunsany,Epic Fantasy,3.83,"7,594",838,"1,390",16,"January 1, 1924",240
His Majesty's Dragon ,Temeraire,Naomi Novik ,Epic Fantasy,4.06,"98,068","8,439","33,953",364,"January 3, 2006",374
The War of the Lance ,DragonLance: Tales II,Margaret Weis,Epic Fantasy,3.91,"4,899",20,386,5,"January 1, 1992",343
Wrath ,The Faithful and the Fallen,John Gwynne ,Epic Fantasy,4.51,"18,962","2,019",480,6,"November 17, 2016",720
The Other Wind ,Earthsea Cycle,Ursula K. Le Guin,Epic Fantasy,4.18,"26,760","1,704","1,383",18,"September 13, 2001",211
So You Want to Be a Wizard ,Young Wizards,Diane Duane ,Epic Fantasy,3.84,"27,188","1,304","2,232",28,"January 1, 1983",323
The Three Witches and the Master,,Max Nowaz ,Epic Fantasy,4.32,"2,732",14,"4,517",47,"May 14, 2023",353
In the Realm of the Wolf ,The Drenai Saga,David Gemmell,Epic Fantasy,4.25,"9,130",200,885,12,"January 1, 1992",306
The Mabinogion Tetralogy,,Evangeline Walton,Epic Fantasy,4.22,"1,173",96,"1,377",16,"January 1, 2002",720
The Night Circus,,Erin Morgenstern ,Epic Fantasy,4.02,"9,51,849","1,01,041","4,500",55,"September 13, 2011",400
Shadow Moon ,Chronicles of the Shadow War,George Lucas,Epic Fantasy,3.27,"2,241",210,625,8,"September 1, 1995",452
Seraphina ,Seraphina,Rachel Hartman ,Epic Fantasy,3.94,"85,914","8,696",386,5,"July 1, 2012",499
"The Chronicles of Thomas Covenant, the Unbeliever ",The Chronicles of Thomas Covenant the Unbeliever,Stephen R. Donaldson,Epic Fantasy,3.81,"15,161",362,"32,973",351,"January 1, 1977",1160
The Graveyard Book,,Neil Gaiman ,Epic Fantasy,4.15,"5,31,680","39,411",884,11,"September 30, 2008",312
Sourcery ,"Discworld, #5; Rincewind",Terry Pratchett,Epic Fantasy,3.91,"97,975","3,113",480,8,"January 1, 1988",276
Tales of the Dying Earth,,Jack Vance,Epic Fantasy,4.13,"5,570",451,"2,213",27,"December 1, 1998",741
Unsouled ,Cradle,Will Wight ,Epic Fantasy,4.16,"41,264","2,413","1,366",14,"June 13, 2016",294
Redstone ,The Ammolite Adventures,C.E.  Johnson ,Epic Fantasy,4.62,87,14,880,9,"May 6, 2016",483
Shapechanger's Song  ,Chronicles of the Cheysuli,Jennifer Roberson ,Epic Fantasy,3.92,"1,404",51,385,4,"March 1, 2001",621
Song of the Beast,,Carol Berg ,Epic Fantasy,4.04,"2,453",182,625,8,"May 1, 2003",467
The Cheat Code ,Wisdom Revolution,Misba ,Epic Fantasy,4.64,"1,906",566,"4,448",48,"April 19, 2023",465
The Black Company ,The Chronicles of the Black Company,Glen Cook,Epic Fantasy,3.93,"48,980","2,480","30,203",325,"May 15, 1984",319
The Witches of Eileanan ,The Witches of Eileanan,Kate Forsyth ,Epic Fantasy,4.02,"7,092",388,"2,188",25,"January 1, 1997",411
A Knight of the Word ,Word & Void,Terry Brooks ,Epic Fantasy,4.06,"15,437",377,624,9,"January 1, 1998",386
The Lightning Thief ,Percy Jackson and the Olympians,Rick Riordan ,Epic Fantasy,4.3,"28,97,779","95,544",480,6,"July 28, 2005",377
Bluestone ,The Ammolite Adventures,C.E.  Johnson ,Epic Fantasy,4.35,138,44,878,9,"November 13, 2015",482
Red Seas Under Red Skies ,Gentleman Bastard,Scott Lynch ,Epic Fantasy,4.25,"1,40,908","7,689","4,441",57,"June 21, 2007",578
The Sword of Kaigen,,M.L.  Wang ,Epic Fantasy,4.46,"19,416","4,118","1,360",14,"January 1, 2018",559
The Chronicles of Prydain ,The Chronicles of Prydain,Lloyd Alexander,Epic Fantasy,4.43,"7,401",301,"29,926",319,"October 12, 1989",1104
The Pool of Two Moons ,The Witches of Eileanan,Kate Forsyth ,Epic Fantasy,4.19,"4,600",98,384,5,"January 1, 1998",557
Rise of the Flame ,The Eura Chronicles,K.N. Lee ,Epic Fantasy,3.96,635,98,877,9,"January 8, 2015",465
Dragonquest ,Dragonriders of Pern,Anne McCaffrey,Epic Fantasy,4.09,"49,574","1,059","2,154",29,"May 1, 1971",350
The Steward ,Weald Fae Journals,Christopher  Shields ,Epic Fantasy,3.95,580,91,"4,373",44,"August 7, 2012",336
The Dark Is Rising ,The Dark is Rising,Susan Cooper ,Epic Fantasy,4.05,"56,540","3,054","28,564",306,"April 1, 1973",244
Half a King ,Shattered Sea,Joe Abercrombie,Epic Fantasy,3.97,"64,122","6,228","1,359",19,"July 3, 2014",336
Blade of Tyshalle ,The Acts of Caine,Matthew Woodring Stover,Epic Fantasy,4.06,"5,082",274,384,4,"January 1, 2001",800
"The Magic Kingdom of Landover, Volume 1 ",Magic Kingdom of Landover,Terry Brooks ,Epic Fantasy,4.14,"3,170",100,872,10,"August 1, 1992",710
The Elric Saga Part I ,Elric Saga,Michael Moorcock,Epic Fantasy,4.1,"4,592",157,478,7,"January 1, 1984",374
The Crimson Crown ,Seven Realms,Cinda Williams Chima ,Epic Fantasy,4.47,"43,471","3,182",617,8,"October 23, 2012",598
Queen of Shadows ,Throne of Glass,Sarah J. Maas ,Epic Fantasy,4.59,"6,48,867","46,376","1,358",15,"September 1, 2015",648
The Second Chronicles of Thomas Covenant ,The Second Chronicles of Thomas Covenant,Stephen R. Donaldson,Epic Fantasy,4.02,"3,629",40,613,8,"January 1, 1983",1245
The Oldest Dance ,Wisdom Revolution,Misba ,Epic Fantasy,4.58,"6,878",958,"4,303",47,"September 19, 2021",
"The Black Jewels Trilogy: Daughter of the Blood, Heir to the Shadows, Queen of the Darkness ",The Black Jewels,Anne Bishop,Epic Fantasy,4.39,"13,790",680,"26,334",278,"December 2, 2003",1204
The Republic of Thieves ,Gentleman Bastard,Scott Lynch ,Epic Fantasy,4.22,"1,06,350","6,290","2,147",28,"October 8, 2013",650
City of Dragons ,Rain Wild Chronicles,Robin Hobb ,Epic Fantasy,4.1,"32,465","1,577",384,7,"September 1, 2011",334
The Broken Crown ,The Sun Sword,Michelle West,Epic Fantasy,3.94,"3,136",164,871,10,"July 1, 1997",764
Evil Among Us ,Species Intervention #6609,J.K. Accinni,Epic Fantasy,4.44,280,71,478,5,"May 18, 2013",190
Miecz przeznaczenia ,Saga o Wiedźminie,Andrzej Sapkowski,Epic Fantasy,4.27,"1,78,766","9,842",608,9,"May 21, 1992",343
Blood of Elves ,The Witcher,Andrzej Sapkowski,Epic Fantasy,4.1,"1,98,687","10,614","4,258",48,"January 1, 1994",398
Golden Fool ,Tawny Man,Robin Hobb ,Epic Fantasy,4.36,"79,236","2,153","1,352",19,"October 21, 2002",709
The Children of Húrin,,J.R.R. Tolkien,Epic Fantasy,4.03,"81,910","4,440","26,000",281,"April 16, 2007",315
The Curse Giver,,Dora Machado ,Epic Fantasy,3.62,"1,883",141,382,4,"July 4, 2013",510
Winds of Fate ,Mage Winds,Mercedes Lackey,Epic Fantasy,4.07,"17,044",300,"2,144",28,"October 3, 1991",460
King's Dragon ,Crown of Stars,Kate Elliott ,Epic Fantasy,3.81,"9,250",401,606,8,"February 1, 1997",636
Magician: Master ,The Riftwar Saga,Raymond E. Feist,Epic Fantasy,4.25,"71,868","1,008","1,346",18,"November 1, 1982",499
The Dwarves ,The Dwarves,Markus Heitz,Epic Fantasy,3.97,"13,210",916,869,11,"January 1, 2003",738
Rage and Ruin ,The Harbinger,Jennifer L. Armentrout ,Epic Fantasy,4.16,"33,410","2,903","4,238",44,"June 9, 2020",468
Peter and the Starcatchers ,Peter and the Starcatchers,Dave Barry ,Epic Fantasy,4.04,"76,188","5,231",476,8,"September 1, 2004",452
The Blue Sword ,Damar,Robin McKinley,Epic Fantasy,4.21,"60,571","3,286","25,761",275,"October 1, 1982",248
Escaping Destiny ,Tapestry Chronicles,Jeffrey Pierce ,Epic Fantasy,4.02,147,28,600,6,"February 1, 2011",254
The War of the Worlds,,H.G. Wells,Epic Fantasy,3.83,"3,08,419","11,866",866,13,"January 1, 1897",192
Kingsride ,Legends of Astarkand,Krystine Kercher ,Epic Fantasy,4.2,5,1,381,4,"February 11, 2013",205
The Magician's Apprentice ,Black Magician,Trudi Canavan,Epic Fantasy,3.97,"24,645",808,"1,345",16,"February 23, 2009",593
The Rose and the Thorn ,The Riyria Chronicles,Michael J. Sullivan ,Epic Fantasy,4.4,"26,459","1,309",599,10,"September 17, 2013",347
The Knight ,The Wizard Knight,Gene Wolfe,Epic Fantasy,3.75,"5,089",370,474,6,"January 3, 2004",544
Shadow and Bone ,The Shadow and Bone Trilogy,Leigh Bardugo ,Epic Fantasy,3.93,"9,32,925","82,531","2,144",25,"June 5, 2012",358
Shadows of the Realm ,The Circle of Talia,Dionne Lister ,Epic Fantasy,3.85,369,73,"4,176",42,"April 12, 2012",474
The Destroyer 2 ,The Destroyer,Michael-Scott Earle ,Epic Fantasy,4.09,"1,825",63,853,9,"February 20, 2016",449
The Magicians' Guild ,Black Magician Trilogy,Trudi Canavan,Epic Fantasy,3.95,"83,455","3,353","25,091",272,"October 24, 2001",467
Tree of Aeons,,spaizzzer,Epic Fantasy,4.22,"1,152",69,"1,344",14,"March 24, 2023",682
Tribesman ,Tribesman,Paul Freeman ,Epic Fantasy,3.88,151,25,598,6,"September 30, 2012",196
Under Heaven ,Under Heaven,Guy Gavriel Kay ,Epic Fantasy,4.17,"15,270","1,759","2,137",26,"April 27, 2010",592
The High Lord ,Black Magician Trilogy,Trudi Canavan,Epic Fantasy,4.14,"58,756","1,973",381,7,"December 18, 2002",644
Armageddon Cometh ,Species Intervention #6609,J.K. Accinni,Epic Fantasy,4.33,269,91,472,5,"August 26, 2012",179
"The Absolute Sandman, Volume 1",,Neil Gaiman ,Epic Fantasy,4.65,"21,632",810,"4,136",50,"October 1, 1990",612
A Man and His God,,Janet E. Morris ,Epic Fantasy,4.43,94,27,851,9,"January 1, 1981",39
The Gathering Storm ,The Wheel of Time,Robert Jordan,Epic Fantasy,4.42,"1,57,815","4,982","1,340",21,"November 7, 2009",824
Forge of Darkness ,The Kharkanas Trilogy,Steven Erikson ,Epic Fantasy,4.13,"9,124",503,471,6,"July 31, 2012",662
Titus Alone ,Gormenghast,Mervyn Peake,Epic Fantasy,3.45,"5,449",416,379,5,"January 1, 1959",284
Artemis Fowl ,Artemis Fowl,Eoin Colfer,Epic Fantasy,3.86,"5,43,964","13,574","2,134",28,"April 26, 2001",396
Throne of Glass ,Throne of Glass,Sarah J. Maas ,Epic Fantasy,4.19,"12,96,485","87,397","23,910",253,"August 7, 2012",406
The Vampire King ,The Horn King,Brae Wyckoff ,Epic Fantasy,4.62,16,5,471,5,"August 5, 2015",302
The Last Dragon Slayer ,Deathsworn Arc,Martyn Stanley ,Epic Fantasy,3.68,469,107,598,6,"September 19, 2012",290
Acacia: The War with the Mein ,Acacia,David Anthony Durham ,Epic Fantasy,3.57,"8,818",568,"1,333",15,"June 12, 2007",576
Crossroads of Twilight ,The Wheel of Time,Robert Jordan,Epic Fantasy,3.79,"1,21,139","4,076","2,105",27,"January 7, 2003",704
The Runelords ,Runelords,David Farland ,Epic Fantasy,3.77,"19,155",646,"4,135",49,"June 1, 1998",613
Obernewtyn ,The Obernewtyn Chronicles,Isobelle Carmody ,Epic Fantasy,3.96,"12,023",830,850,10,"January 1, 1987",256
Otuna's Flute,,Maricar Banguis ,Epic Fantasy,4.84,38,2,598,6,"January 20, 2019",206
Hive ,Species Intervention #6609,J.K. Accinni,Epic Fantasy,4.4,366,92,469,5,"December 15, 2012",184
Wizardborn ,Runelords,David Farland ,Epic Fantasy,3.84,"9,695",150,378,6,"January 1, 2001",502
The Odyssey,,Homer,Epic Fantasy,3.8,"10,59,403","18,472","23,845",259,"January 1, 701",541
Memories of Ice ,Malazan Book of the Fallen,Steven Erikson ,Epic Fantasy,4.46,"57,201","2,481",848,12,"December 6, 2001",925
A Court of Mist and Fury ,A Court of Thorns and Roses,Sarah J. Maas ,Epic Fantasy,4.65,"15,46,754","1,32,429","1,329",15,"May 3, 2016",626
The High Auction ,Wisdom Revolution,Misba ,Epic Fantasy,4.6,"7,594","1,021","4,094",45,"July 21, 2021",180
The Baker's Boy ,Book of Words,J.V. Jones,Epic Fantasy,3.79,"7,921",192,"2,076",27,"June 1, 1995",552
Quintana of Charyn ,Lumatere Chronicles,Melina Marchetta ,Epic Fantasy,4.31,"14,535","1,724",596,7,"September 26, 2012",516
The Daylight War ,Demon Cycle,Peter V. Brett ,Epic Fantasy,4.21,"60,876","2,532","1,310",20,"February 12, 2013",639
The Crystal Cave ,Arthurian Saga,Mary  Stewart,Epic Fantasy,4.13,"45,822","2,040","23,335",252,"January 1, 1970",494
City of Ashes ,The Mortal Instruments,Cassandra Clare ,Epic Fantasy,4.12,"9,21,860","36,116",376,5,"August 7, 2008",453
"Abarat: Days of Magic, Nights of War",,Clive Barker ,Epic Fantasy,4.21,"15,048",496,468,6,"September 21, 2004",569
House of Chains ,Malazan Book of the Fallen,Steven Erikson ,Epic Fantasy,4.34,"47,257","1,769",830,12,"December 2, 2002",1015
The Rootless,,Angelo Tsanatelis ,Epic Fantasy,4.33,33,3,594,6,"April 26, 2011",
The River Wall ,Gandalara Cycle,Randall Garrett,Epic Fantasy,4.31,451,15,467,6,"January 1, 1986",275
Maya's Magical Adventures,,Malcolm McCoard ,Epic Fantasy,4.59,243,38,"2,076",21,"February 21, 2017",175
Finnikin of the Rock ,Lumatere Chronicles,Melina Marchetta ,Epic Fantasy,3.9,"43,624","4,600","4,068",44,"September 29, 2008",416
Three Hearts and Three Lions,,Poul Anderson,Epic Fantasy,3.84,"4,997",418,594,8,"October 1, 1953",177
Veil of the Dragon,,Tom Barczak,Epic Fantasy,3.84,31,11,463,5,"April 16, 2012",284
The Screwtape Letters,,C.S. Lewis,Epic Fantasy,4.26,"4,35,859","15,767","2,063",24,"February 1, 1942",224
The Amulet of Samarkand ,Bartimaeus,Jonathan Stroud ,Epic Fantasy,4.03,"1,27,304","5,853","22,693",244,"September 30, 2003",462
The Shadow of the Torturer ,The Book of the New Sun,Gene Wolfe,Epic Fantasy,3.83,"28,435","2,103","1,303",17,"May 1, 1980",262
Wandfasted ,The Black Witch Chronicles,Laurie Forest ,Epic Fantasy,4.23,"5,166",445,594,6,"July 1, 2017",235
The Golem and the Jinni ,The Golem and the Jinni,Helene Wecker ,Epic Fantasy,4.12,"1,22,594","15,319",376,5,"April 13, 2013",486
Traitor's Blade ,Greatcoats,Sebastien de Castell ,Epic Fantasy,4.05,"22,693","2,695",822,11,"February 10, 2014",325
Transformation ,Rai-Kirah,Carol Berg ,Epic Fantasy,4,"7,186",381,"2,060",26,"August 1, 2000",439
Adhaata Asao's Liege,,Afroz  Alam ,Epic Fantasy,4.57,173,81,"4,000",40,"February 12, 2020",174
The Young Elites ,The Young Elites,Marie Lu ,Epic Fantasy,3.87,"1,34,651","15,127",463,5,"October 7, 2014",355
سلسلة سلام ,1) - رواية بعد,Eng.Sara Ahmad ,Epic Fantasy,4.78,222,48,594,6,"January 1, 2020",368
The Last Wish ,The Witcher,Andrzej Sapkowski,Epic Fantasy,4.14,"3,42,933","22,855","22,499",240,"January 31, 1993",400
The Complete Book of Swords ,Books of Swords,Fred Saberhagen,Epic Fantasy,4.06,"3,579",94,"2,048",25,"January 1, 1985",626
Magic Casement ,A Man of His Word,Dave Duncan,Epic Fantasy,4.02,"3,219",154,375,4,"November 13, 1990",340
Wizard and Glass ,The Dark Tower,Stephen King ,Epic Fantasy,4.26,"1,95,923","7,776","1,299",17,"November 4, 1997",845
Throne of Novoxos ,Van Laven Chronicles,Tyler Chase ,Epic Fantasy,3.62,"2,416",128,"3,998",40,"July 15, 2014",437
The IX  ,The IX,Andrew P. Weston ,Epic Fantasy,3.45,477,76,816,9,"January 26, 2015",596
Stone of Tears ,Sword of Truth,Terry Goodkind,Epic Fantasy,4.1,"1,12,085","2,034",592,8,"September 15, 1995",703
To Light a Candle ,Obsidian Mountain,Mercedes Lackey,Epic Fantasy,4.13,"9,984",179,460,7,"October 1, 2004",856
Nine Princes in Amber ,The Chronicles of Amber,Roger Zelazny,Epic Fantasy,4.06,"57,046","2,449","1,290",21,"June 1, 1970",175
The Stones of Andarus ,The Devenshire Chronicles,Tom Sechrist ,Epic Fantasy,4.47,150,5,"3,969",40,"October 20, 2012",474
Daughter of the Forest  ,Sevenwaters,Juliet Marillier ,Epic Fantasy,4.28,"64,428","5,297","22,283",240,"April 1, 1999",554
The Illearth War ,The Chronicles of Thomas Covenant the Unbeliever,Stephen R. Donaldson,Epic Fantasy,4.02,"27,195",481,375,7,"September 1, 1978",527
Shapechangers ,Chronicles of the Cheysuli,Jennifer Roberson ,Epic Fantasy,3.9,"4,014",162,"2,041",23,"February 7, 1984",224
Among Thieves ,Tales of the Kin,Douglas Hulick ,Epic Fantasy,3.94,"12,487",734,811,10,"April 1, 2011",414
Shardik,,Richard  Adams,Epic Fantasy,3.51,"4,305",346,590,7,"January 1, 1974",604
Kushiel's Scion ,Imriel's Trilogy,Jacqueline Carey ,Epic Fantasy,4.22,"21,582",701,"3,962",48,"June 12, 2006",944
An Autumn War ,Long Price Quartet,Daniel Abraham,Epic Fantasy,4.05,"7,076",330,460,6,"July 1, 2008",366
Enchanters' End Game ,The Belgariad,David Eddings,Epic Fantasy,4.19,"91,993","1,176","1,290",18,"December 1, 1984",384
Cursor's Fury ,Codex Alera,Jim Butcher ,Epic Fantasy,4.36,"66,949","1,674",809,11,"December 5, 2006",442
A Betrayal in Winter ,Long Price Quartet,Daniel Abraham,Epic Fantasy,3.91,"7,279",412,459,6,"August 21, 2007",320
Elantris ,Elantris,Brandon Sanderson ,Epic Fantasy,4.19,"2,59,687","17,577","21,930",244,"May 1, 2005",638
The Wind Through the Keyhole ,The Dark Tower,Stephen King ,Epic Fantasy,4.14,"81,780","6,099",375,5,"February 21, 2012",322
Dragondrums ,Harper Hall,Anne McCaffrey,Epic Fantasy,4.1,"35,841",747,"2,012",28,"January 1, 1979",243
Proven Guilty ,The Dresden Files,Jim Butcher ,Epic Fantasy,4.39,"1,19,602","3,586",590,10,"February 1, 2006",547
Heaven Official's Blessing: Tian Guan Ci Fu ,Novel) Vol.,Mò Xiāng Tóng Xiù,Epic Fantasy,4.64,"22,506","2,567","2,007",21,"December 14, 2021",416
King's Lament,,Lilia Blanc ,Epic Fantasy,3.66,93,26,800,8,"December 10, 2016",488
Domes of Fire ,The Tamuli,David Eddings,Epic Fantasy,4.02,"28,038",249,"3,905",48,"January 1, 1992",471
Pseudo-Dragon ,The Blue Dragon's Geas,Cheryl Matthynssens ,Epic Fantasy,4.37,147,16,590,6,"February 1, 2016",670
The Fionavar Tapestry ,The Fionavar Tapestry,Guy Gavriel Kay ,Epic Fantasy,4.23,"7,474",289,"21,646",232,"January 1, 1986",792
The Summer Tree ,The Fionavar Tapestry,Guy Gavriel Kay ,Epic Fantasy,3.97,"24,320","1,647","1,289",19,"October 1, 1984",383
The Tiger’s Daughter ,Ascendant,K. Arsenault Rivera ,Epic Fantasy,3.85,"3,857",846,375,4,"October 3, 2017",526
The Swords of Night and Day ,The Drenai Saga,David Gemmell,Epic Fantasy,4.34,"9,153",179,585,8,"April 1, 2004",640
A Man Rides Through ,Mordant's Need,Stephen R. Donaldson,Epic Fantasy,4.03,"12,951",254,459,6,"November 1, 1987",661
Epic of Lilith,,Ivars Ozols ,Epic Fantasy,4.15,27,5,800,8,"November 17, 2017",
The Coven of Deeds,,Malcolm McCoard ,Epic Fantasy,4.34,119,16,"1,998",20,"July 23, 2021",475
Tehanu ,Earthsea Cycle,Ursula K. Le Guin,Epic Fantasy,4.02,"48,897","3,006","3,901",46,"June 20, 1990",281
Empire of the East ,Empire of the East,Fred Saberhagen,Epic Fantasy,3.94,"1,414",93,457,4,"October 1, 1979",512
A Storm of Swords ,A Song of Ice and Fire,George R.R. Martin,Epic Fantasy,4.54,"7,66,956","24,841","21,601",241,"August 8, 2000",1177
Wolf-Speaker ,Immortals,Tamora Pierce ,Epic Fantasy,4.2,"58,151","1,193",374,7,"April 1, 1993",344
Joust ,Dragon Jousters,Mercedes Lackey,Epic Fantasy,4.04,"11,780",376,"1,991",24,"March 2, 2003",448
The Riddle-Master of Hed ,Riddle-Master,Patricia A. McKillip,Epic Fantasy,3.99,"12,495",626,"1,285",15,"January 1, 1976",229
The Oracle's Journal ,Of Gods and Guardians,Dimitri Liountris ,Epic Fantasy,4.53,36,10,800,8,"November 14, 2018",1026
Sword of Shadows ,Shadow Series,C.N. Lesley ,Epic Fantasy,4.44,82,41,585,6,"November 2, 2014",376
Crazy For Alice,,Alex Dunn,Epic Fantasy,4.14,69,31,373,4,"July 15, 2016",206
